area_type,availability,location,total_sqft,bath,price,bedrooms
Super built-up  Area,Ready To Move,Electronic City,660.0,1.0,23.1,2
Built-up  Area,20-Dec,Whitefield,1610.0,3.0,81.0,3
Super built-up  Area,17-Oct,Ramagondanahalli,1151.0,2.0,48.77,2
Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,47.0,3
Super built-up  Area,19-Dec,Yelahanka,2475.0,4.0,186.0,4
Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,35.0,3
Super built-up  Area,Ready To Move,Hebbal,1760.0,2.0,123.0,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3
Built-up  Area,Ready To Move,Kasturi Nagar,1925.0,3.0,125.0,3
Super built-up  Area,21-Dec,Kanakpura Road,700.0,2.0,36.0,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,1070.0,2.0,45.5,2
Super built-up  Area,Ready To Move,Kundalahalli,1724.0,3.0,125.0,3
Super built-up  Area,Ready To Move,Chikkalasandra,1290.0,2.0,56.12,3
Built-up  Area,Ready To Move,Uttarahalli,1143.0,2.0,45.0,2
Built-up  Area,Ready To Move,Murugeshpalya,1296.0,2.0,81.0,2
Super built-up  Area,19-Dec,Sarjapur  Road,1254.0,3.0,38.0,3
Super built-up  Area,Ready To Move,Ganga Nagar,600.0,1.0,38.0,1
Plot  Area,Ready To Move,Yelahanka,660.0,1.0,48.0,1
Super built-up  Area,19-Sep,Kanakpura Road,1330.74,2.0,91.79,2
Plot  Area,Ready To Move,HSR Layout,600.0,9.0,200.0,8
Super built-up  Area,Ready To Move,Doddathoguru,970.0,2.0,33.0,2
Super built-up  Area,20-Sep,Whitefield,1459.0,2.0,94.82,2
Plot  Area,Ready To Move,KR Puram,800.0,1.0,130.0,2
Built-up  Area,Ready To Move,Himagiri Meadows,869.0,2.0,36.0,2
Super built-up  Area,Ready To Move,Adarsh Nagar,1270.0,2.0,50.0,2
Super built-up  Area,18-Mar,Bhoganhalli,1670.0,3.0,99.0,3
Built-up  Area,Ready To Move,Whitefield,2010.0,3.0,91.0,3
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1185.0,2.0,75.0,2
Super built-up  Area,Ready To Move,Yelahanka,1600.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,1500.0,2.0,185.0,2
Plot  Area,Ready To Move,Murugeshpalya,1407.0,4.0,150.0,6
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,840.0,2.0,45.0,2
Plot  Area,Ready To Move,Tharabanahalli,4395.0,3.0,240.0,3
Super built-up  Area,Ready To Move,Ganga Nagar,845.0,2.0,55.0,2
Plot  Area,Ready To Move,Whitefield,5700.0,5.0,650.0,4
Built-up  Area,Ready To Move,Varthur,1160.0,2.0,44.0,2
Built-up  Area,Ready To Move,Bommanahalli,3000.0,8.0,140.0,8
Super built-up  Area,Ready To Move,Doddathoguru,1100.0,2.0,62.0,2
Super built-up  Area,18-Apr,Gunjur,1140.0,2.0,43.0,2
Super built-up  Area,Ready To Move,Marathahalli,1220.0,2.0,57.0,2
Plot  Area,Ready To Move,Devarachikkanahalli,1350.0,7.0,85.0,8
Super built-up  Area,Ready To Move,Kanakpura Road,1005.0,2.0,36.68,2
Plot  Area,Ready To Move,Double Road,500.0,3.0,100.0,3
Super built-up  Area,20-Aug,Begur Road,1358.0,2.0,80.58,2
Super built-up  Area,Ready To Move,Hegde Nagar,1569.0,3.0,101.0,3
Super built-up  Area,18-Apr,Haralur Road,1240.0,2.0,70.0,2
Super built-up  Area,Ready To Move,Hennur Road,2089.0,3.0,140.0,3
Super built-up  Area,Ready To Move,Kothannur,1206.0,2.0,48.23,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1150.0,2.0,40.0,2
Built-up  Area,Ready To Move,Cholanayakanahalli,2511.0,3.0,205.0,3
Built-up  Area,Ready To Move,Kaval Byrasandra,460.0,1.0,22.0,2
Built-up  Area,Ready To Move,ISRO Layout,4400.0,6.0,250.0,6
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,1660.0,2.0,105.0,3
Super built-up  Area,19-Mar,Yelahanka,1326.0,2.0,78.0,2
Super built-up  Area,Ready To Move,Garudachar Palya,1325.0,2.0,60.8,3
Super built-up  Area,Ready To Move,EPIP Zone,1499.0,5.0,102.0,3
Built-up  Area,Ready To Move,Hegde Nagar,3000.0,7.0,210.0,6
Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,88.0,3
Super built-up  Area,17-Sep,Dasanapura,708.0,2.0,37.0,2
Super built-up  Area,Ready To Move,Kasavanhalli,1060.0,2.0,58.06,2
Plot  Area,Ready To Move,Rajaji Nagar,710.0,6.0,160.0,6
Built-up  Area,Ready To Move,Sanjay nagar,1000.0,2.0,70.0,2
Super built-up  Area,18-Dec,Electronic City,1000.0,2.0,28.88,2
Super built-up  Area,Ready To Move, Mysore Highway,1450.0,2.0,70.0,3
Plot  Area,Ready To Move,ISRO Layout,1200.0,4.0,155.0,4
Super built-up  Area,17-Aug,Thanisandra,1296.0,2.0,80.0,2
Super built-up  Area,Ready To Move,Domlur,1540.0,3.0,90.0,3
Plot  Area,Ready To Move,Kengeri,2894.0,4.0,245.0,4
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1330.0,2.0,48.0,3
Built-up  Area,Ready To Move,Devasthanagalu,1200.0,2.0,65.0,2
Built-up  Area,Ready To Move,T Dasarahalli,1200.0,3.0,90.0,3
Super built-up  Area,Ready To Move,Yeshwanthpur,2502.0,3.0,138.0,3
Built-up  Area,Ready To Move,Chandapura,650.0,1.0,17.0,2
Plot  Area,Ready To Move,Kothanur,2400.0,2.0,150.0,3
Super built-up  Area,Ready To Move,Green View Layout,1007.0,2.0,43.0,2
Super built-up  Area,Ready To Move,Shantiniketan Layout,1200.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Peenya,966.0,2.0,49.9,2
Built-up  Area,Ready To Move,Nagarbhavi,1630.0,2.0,98.0,3
Built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,229.0,3
Built-up  Area,Ready To Move,Jalahalli West,782.0,2.0,55.68,2
Super built-up  Area,19-Apr,Devanahalli,1260.0,2.0,66.78,2
Super built-up  Area,Ready To Move,Lakshmiamma Garden,1800.0,3.0,120.0,3
Super built-up  Area,Ready To Move,Byatarayanapura,1413.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Whitefield,1116.0,2.0,51.91,2
Super built-up  Area,Ready To Move,Electronic City,1530.0,2.0,45.9,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,3700.0,4.0,225.0,4
Built-up  Area,Ready To Move,Sarjapur  Road,2497.0,3.0,140.0,3
Super built-up  Area,Ready To Move,Kengeri,1540.0,2.0,64.0,3
Super built-up  Area,18-Dec,Thanisandra,1436.0,3.0,74.75,3
Super built-up  Area,18-Jun,Malleshwaram,1100.0,2.0,75.0,2
Plot  Area,Ready To Move,Hennur Road,276.0,3.0,23.0,2
Super built-up  Area,Ready To Move,Thanisandra,1427.0,3.0,120.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,2061.0,3.0,200.0,3
Super built-up  Area,18-Mar,Hebbal,5611.5,4.0,477.0,4
Built-up  Area,Ready To Move,Shampura,2650.0,4.0,150.0,4
Super built-up  Area,22-Dec,Devanahalli,1282.0,2.0,68.52,3
Built-up  Area,Ready To Move,Kadugodi,1050.0,2.0,34.0,2
Built-up  Area,Ready To Move,LB Shastri Nagar,1600.0,3.0,65.0,3
Super built-up  Area,22-Jan,Vajarahalli,945.0,2.0,54.0,2
Super built-up  Area,Ready To Move,Hormavu,1500.0,2.0,78.0,2
Plot  Area,Ready To Move,Vishwapriya Layout,950.0,7.0,115.0,7
Built-up  Area,Ready To Move,Peenya,1870.0,3.0,110.0,3
Plot  Area,Ready To Move,Sarjapur,1600.0,3.0,75.0,3
Super built-up  Area,Ready To Move,Electronic City,880.0,1.0,16.5,2
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,210.0,4
Super built-up  Area,Ready To Move,Kudlu Gate,1535.0,3.0,83.0,3
Built-up  Area,Ready To Move,Kanakpura Road,950.0,2.0,57.0,2
Super built-up  Area,18-Aug,Devanahalli,1360.0,2.0,65.0,2
Super built-up  Area,19-Mar,8th Phase JP Nagar,1073.5,2.0,54.005,2
Super built-up  Area,18-May,Bommasandra Industrial Area,1280.0,3.0,50.4,3
Super built-up  Area,19-Jan,Chandra Layout,1260.0,2.0,85.05,3
Built-up  Area,Ready To Move,Hennur Road,5000.0,8.0,250.0,8
Super built-up  Area,19-Dec,Yelahanka,3050.0,5.0,213.0,5
Super built-up  Area,Ready To Move,Kasavanhalli,1563.05,3.0,105.0,3
Super built-up  Area,Ready To Move,ISRO Layout,1000.0,2.0,60.0,2
Super built-up  Area,17-Jul,Anandapura,1167.0,2.0,43.76,2
Super built-up  Area,Ready To Move,Vishveshwarya Layout,4000.0,7.0,225.0,7
Super built-up  Area,Ready To Move,Kothanur,1828.0,3.0,110.0,3
Super built-up  Area,Ready To Move,Kengeri Satellite Town,890.0,2.0,35.0,2
Super built-up  Area,Ready To Move,Basavanapura,1612.0,3.0,46.74,3
Plot  Area,Ready To Move,Dinnur,1034.0,5.0,185.0,6
Super built-up  Area,19-Apr,Mysore Road,1710.0,4.0,91.31,3
Super built-up  Area,Ready To Move,Kannamangala,957.0,2.0,58.0,2
Super built-up  Area,18-May, Devarachikkanahalli,1250.0,2.0,44.0,3
Super built-up  Area,Ready To Move,Sanjeevini Nagar,2795.0,4.0,235.0,3
Super built-up  Area,Ready To Move,Hulimavu,1125.0,2.0,50.0,2
Super built-up  Area,18-Jul,Electronic City Phase II,1020.0,2.0,30.6,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1200.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Thanisandra,1735.0,3.0,135.0,3
Super built-up  Area,Ready To Move,Thanisandra,2050.0,3.0,145.0,3
Plot  Area,Ready To Move,Mahalakshmi Layout,3750.0,4.0,760.0,4
Built-up  Area,Ready To Move,Yarandahalli,1350.0,2.0,48.0,3
Super built-up  Area,18-May,Hosa Road,1063.0,2.0,32.0,2
Super built-up  Area,Ready To Move,Keshava Nagar,1904.0,3.0,150.0,3
Built-up  Area,Ready To Move,Whitefield,4200.0,4.0,420.0,4
Super built-up  Area,Ready To Move,RMV Extension,2000.0,3.0,175.0,3
Super built-up  Area,18-Dec,Sarjapur,1242.5,2.0,43.49,2
Super built-up  Area,Ready To Move,Tejaswini Nagar,1425.0,2.0,75.0,3
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,64.5,3
Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,60.0,2
Built-up  Area,Ready To Move,Jai Bheema Nagar,1470.0,2.0,70.0,3
Super built-up  Area,Ready To Move,Kothnur Narayanapura,1300.0,6.0,99.0,6
Super built-up  Area,Ready To Move,Attibele,450.0,1.0,11.0,1
Super built-up  Area,18-Apr,Electronic City,1152.0,2.0,64.5,2
Super built-up  Area,Ready To Move,Electronic City,1350.0,2.0,56.0,3
Super built-up  Area,Ready To Move,CV Raman Nagar,1550.0,3.0,65.0,3
Plot  Area,Ready To Move,CHIKKATIRUPATHI,1500.0,3.0,100.0,3
Plot  Area,Ready To Move,Kumaraswami Layout,600.0,3.0,85.0,5
Plot  Area,Ready To Move,Nagavara,400.0,1.0,14.0,1
Super built-up  Area,Ready To Move,Malleshwaram,705.0,1.0,67.0,1
Built-up  Area,Ready To Move,Electronic City,770.0,1.0,36.0,2
Super built-up  Area,Ready To Move,Hulimavu,1242.0,2.0,51.0,2
Super built-up  Area,Ready To Move,Hebbal Kempapura,1700.0,3.0,155.0,3
Super built-up  Area,Ready To Move,Thanisandra,2144.0,3.0,145.0,3
Super built-up  Area,21-Jun,Vijayanagar,1704.0,3.0,110.0,3
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,52.0,2
Plot  Area,Ready To Move,8th block Koramangala,1846.0,3.0,300.0,3
Super built-up  Area,Ready To Move,Jakkuru Layout,1340.0,2.0,55.7,2
Built-up  Area,Ready To Move,Electronic City,1025.0,2.0,46.0,2
Super built-up  Area,Ready To Move,KR Puram,1277.5,2.0,56.8,2
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,52.0,2
Built-up  Area,18-Dec,Kanakpura Road,2250.0,4.0,110.0,4
Super built-up  Area,Ready To Move,Pattandur Agrahara,1550.0,2.0,80.0,3
Plot  Area,Ready To Move,Bellandur,1200.0,5.0,325.0,4
Plot  Area,Ready To Move,Ejipura,1800.0,7.0,250.0,7
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Yelahanka,1327.0,2.0,98.0,2
Super built-up  Area,Ready To Move,Kothanur,1186.0,2.0,58.0,2
Built-up  Area,Ready To Move,MS Pallya,1783.0,3.0,115.0,3
Super built-up  Area,Ready To Move,HSR Layout,1400.0,3.0,56.0,3
Super built-up  Area,Ready To Move,Nagasandra,980.0,2.0,48.0,2
Super built-up  Area,Ready To Move,EPIP Zone,1285.0,2.0,82.0,2
Super built-up  Area,Ready To Move,Langford Town,912.0,2.0,70.0,3
Built-up  Area,Ready To Move,Whitefield,1225.0,2.0,47.6,2
Super built-up  Area,Ready To Move,Whitefield,1075.0,2.0,53.0,2
Built-up  Area,Ready To Move,Kadugodi,1260.0,2.0,54.0,3
Super built-up  Area,Ready To Move,Yelahanka,1282.0,2.0,48.7,3
Super built-up  Area,Ready To Move,Kogilu,1909.0,3.0,88.0,3
Super built-up  Area,Ready To Move,Panathur,1359.0,2.0,87.0,2
Built-up  Area,Ready To Move,Nagondanahalli,1207.0,2.0,43.5,2
Plot  Area,Ready To Move,Padmanabhanagar,1736.0,6.0,190.0,4
Super built-up  Area,20-May,1st Block Jayanagar,2850.0,4.0,428.0,4
Super built-up  Area,Ready To Move,Kammasandra,1595.0,3.0,65.0,3
Built-up  Area,18-Jun,"Off Sarjapur Road, ",1798.0,3.0,89.0,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,1475.0,3.0,78.29,3
Super built-up  Area,Ready To Move,Tala Cauvery Layout,1580.0,3.0,100.0,3
Super built-up  Area,Ready To Move,Dasarahalli,1295.0,2.0,65.0,2
Built-up  Area,Ready To Move,Magadi Road,3600.0,6.0,141.0,6
Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,27.0,1
Super built-up  Area,Ready To Move,Ngef Layout,1415.0,3.0,78.0,3
Super built-up  Area,18-Dec,Sarjapur  Road,1787.0,3.0,98.29,3
Super built-up  Area,Ready To Move,Sarjapur  Road,1787.0,3.0,125.0,3
Super built-up  Area,Ready To Move,Koramangala,1475.0,2.0,90.0,3
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,75.5,4
Super built-up  Area,19-Mar,Sarjapur  Road,984.0,2.0,44.28,2
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,2405.0,4.0,260.0,3
Built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,72.0,2
Plot  Area,Ready To Move,Shantiniketan Layout,1500.0,2.0,115.0,2
Super built-up  Area,Ready To Move,Hebbal,1900.0,3.0,119.0,3
Super built-up  Area,19-Aug,Dommasandra,805.0,2.0,22.14,2
Super built-up  Area,Ready To Move,Budigere,1153.0,2.0,56.4,2
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,1148.0,2.0,60.0,2
Super built-up  Area,Ready To Move,Mylasandra,1110.0,2.0,55.0,2
Built-up  Area,Ready To Move,Electronic City,1100.0,2.0,42.0,2
Super built-up  Area,Ready To Move,Kalyan nagar,1290.0,2.0,110.0,2
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,1500.0,2.0,65.0,3
Super built-up  Area,18-Apr,Bank Of Baroda Colony,1080.0,2.0,39.0,2
Super built-up  Area,21-Jun,Vijayanagar,1933.0,3.0,129.0,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,3500.0,5.0,150.0,5
Built-up  Area,Ready To Move,Kullappa Colony,1060.0,2.0,60.0,2
Super built-up  Area,18-Aug,Chandapura,645.0,1.0,16.45,1
Plot  Area,Ready To Move,Mukkutam Nagar,2600.0,8.0,180.0,8
Super built-up  Area,18-Sep,Chandapura,645.0,1.0,16.45,1
Super built-up  Area,Ready To Move,Ashwath Nagar,1644.0,3.0,84.0,3
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,1285.0,2.0,72.5,2
Plot  Area,Ready To Move,Electronic City,1200.0,3.0,90.0,3
Super built-up  Area,Ready To Move,Electronic City,910.0,2.0,40.0,2
Super built-up  Area,Ready To Move,Kothanur,1577.0,3.0,70.0,3
Plot  Area,17-May,Meenakunte,4050.0,3.0,280.0,3
Super built-up  Area,Ready To Move,OMBR Layout,2420.0,3.0,185.0,3
Super built-up  Area,Ready To Move,Chandapura,800.0,1.0,20.0,2
Built-up  Area,Ready To Move,Anand Nagar,1060.0,2.0,55.0,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,93.0,2
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,900.0,2.0,22.5,2
Built-up  Area,Ready To Move,Kundalahalli Colony,1280.0,2.0,69.0,2
Plot  Area,Ready To Move,Horamavu Agara,1200.0,2.0,95.0,4
Built-up  Area,Ready To Move,Sarjapur  Road,1025.0,2.0,36.0,2
Super built-up  Area,17-Jun,Electronic City,1108.0,2.0,63.0,2
Plot  Area,Ready To Move,MCECHS  layout,1200.0,5.0,170.0,5
Super built-up  Area,Ready To Move,Coffee Board Layout,3045.0,3.0,170.0,3
Plot  Area,Ready To Move,Ambedkar Nagar,2900.0,3.0,300.0,4
Super built-up  Area,Ready To Move,Vijayanagar,1500.0,3.0,75.5,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295.0,2.0,43.9,2
Super built-up  Area,Ready To Move,Budigere,1162.0,2.0,59.9,2
Super built-up  Area,Ready To Move,Sarjapur  Road,1035.0,2.0,49.2,2
Built-up  Area,Ready To Move,Attibele,1600.0,4.0,52.8,4
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,1464.0,3.0,46.0,3
Super built-up  Area,18-Oct,Hennur Road,1866.0,2.0,61.58,3
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,700.0,1.0,26.0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1804.0,3.0,120.0,3
Super built-up  Area,Ready To Move,Sarjapur,913.0,2.0,32.0,2
Super built-up  Area,21-Dec,Talaghattapura,1868.0,3.0,131.0,3
Built-up  Area,Ready To Move,Kengeri Satellite Town,883.0,2.0,45.0,2
Plot  Area,Ready To Move,Sundara Nagar,900.0,2.0,110.0,2
Super built-up  Area,Ready To Move,Kogilu,1664.0,2.0,73.95,3
Super built-up  Area,Ready To Move,Hegde Nagar,2026.0,3.0,132.0,3
Super built-up  Area,Ready To Move,Balagere,1210.0,2.0,80.9,2
Plot  Area,Ready To Move,Meenakunte,4111.0,4.0,250.0,4
Super built-up  Area,Ready To Move,Kadugodi,1762.0,3.0,91.45,3
Super built-up  Area,Ready To Move,Jigani,1252.0,3.0,55.0,3
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,861.0,2.0,34.5,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,1420.0,2.0,100.0,3
Plot  Area,Ready To Move,Srirampura,1450.0,6.0,250.0,6
Built-up  Area,Ready To Move,Electronics City Phase 1,1490.0,3.0,78.8,3
Super built-up  Area,Ready To Move,Bisuvanahalli,1075.0,2.0,46.0,3
Super built-up  Area,18-Aug,Old Madras Road,1425.0,2.0,94.0,3
Built-up  Area,Ready To Move,Kalena Agrahara,1200.0,2.0,40.0,2
Super built-up  Area,Ready To Move,Kaggadasapura,1280.0,2.0,56.0,3
Super built-up  Area,Ready To Move,Silver Springs Layout,1084.0,2.0,50.0,2
Super built-up  Area,18-Jul,Chandapura,1015.0,2.0,25.88,2
Super built-up  Area,21-May,Kanakpura Road,1017.0,2.0,51.25,2
Super built-up  Area,Ready To Move,Haralur Road,1027.0,2.0,44.0,2
Super built-up  Area,Ready To Move,Electronic City Phase II,1069.0,2.0,45.0,2
Super built-up  Area,Ready To Move,Hebbal,1349.0,2.0,98.2,2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,1005.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Jakkur,1417.0,2.0,75.0,2
Plot  Area,18-Jan,TC Palaya,1475.0,3.0,98.0,3
Carpet  Area,Ready To Move,Maruthi Sevanagar,950.0,2.0,47.0,2
Super built-up  Area,Ready To Move,RMV 2nd Stage,2000.0,4.0,120.0,4
Plot  Area,Ready To Move,Giri Nagar,880.0,3.0,140.0,3
Super built-up  Area,Ready To Move,Sarjapur  Road,1863.0,3.0,104.0,4
Super built-up  Area,Ready To Move,Singasandra,1010.0,2.0,29.5,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1425.0,2.0,70.0,3
Super built-up  Area,Ready To Move,Vijayanagar,1450.0,3.0,100.0,3
Super built-up  Area,Ready To Move,Kothanur,1847.0,3.0,105.0,3
Super built-up  Area,Ready To Move,AECS Layout,1100.0,2.0,45.0,2
Super built-up  Area,20-Dec,Kanakpura Road,525.0,1.0,26.0,1
Super built-up  Area,Ready To Move,Mallasandra,1665.0,3.0,95.0,3
Super built-up  Area,Ready To Move,Begur,1664.0,4.0,65.0,4
Super built-up  Area,Ready To Move,JP Nagar,1850.0,3.0,150.0,3
Super built-up  Area,Ready To Move,Panathur,1438.0,2.0,100.0,2
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,1560.0,3.0,115.0,3
Super built-up  Area,18-Apr,Yelahanka,1350.0,2.0,55.55,2
Super built-up  Area,Ready To Move,Kanakpura Road,1550.0,3.0,67.0,3
Super built-up  Area,18-Apr,Malleshpalya,1140.0,2.0,46.5,2
Plot  Area,Ready To Move,Srirampura,1200.0,5.0,180.0,5
Super built-up  Area,18-Dec,Kodathi,850.0,2.0,27.0,2
Super built-up  Area,Ready To Move,Whitefield,1280.0,2.0,75.0,2
Built-up  Area,Ready To Move,Munnekollal,1170.0,2.0,52.0,2
Super built-up  Area,Ready To Move,Motappa Layout,1113.0,2.0,51.0,2
Super built-up  Area,Ready To Move,Hennur Road,1385.0,2.0,83.09,2
Super built-up  Area,18-Apr,Electronic City,1128.0,2.0,65.0,2
Plot  Area,Ready To Move,Marathahalli,1200.0,2.0,128.0,2
Plot  Area,Ready To Move,Akshaya Vana,1200.0,4.0,165.0,4
Super built-up  Area,Ready To Move,Rajaji Nagar,2390.0,3.0,415.0,3
Plot  Area,Ready To Move,Giri Nagar,2400.0,4.0,400.0,4
Super built-up  Area,Ready To Move,Haralur Road,1464.0,3.0,56.0,3
Super built-up  Area,Ready To Move,Manayata Tech Park,1200.0,2.0,55.0,2
Super built-up  Area,Ready To Move,Kaval Byrasandra,1200.0,2.0,52.0,2
Super built-up  Area,Ready To Move,Kaggalipura,1150.0,2.0,55.0,3
Built-up  Area,Ready To Move,Basavanna Nagar,1645.0,3.0,95.0,3
Super built-up  Area,20-Mar,Sarjapur  Road,1000.0,2.0,67.0,2
Plot  Area,Ready To Move,Haralur Road,2650.0,4.0,198.0,4
Super built-up  Area,Ready To Move,6th Phase JP Nagar,1192.0,2.0,74.0,2
Super built-up  Area,Ready To Move,Ulsoor,2135.0,3.0,215.0,3
Super built-up  Area,19-Dec,Whitefield,1173.0,2.0,58.0,2
Built-up  Area,Ready To Move,Uttarahalli,1020.0,2.0,45.0,2
Super built-up  Area,Ready To Move,Thigalarapalya,3122.0,6.0,230.0,4
Super built-up  Area,Ready To Move,Somasundara Palya,1600.0,3.0,64.0,3
Plot  Area,18-Mar,T.C PALYA,1200.0,2.0,79.0,2
Carpet  Area,Ready To Move,Muneshwara Nagar,1230.0,2.0,48.0,2
Super built-up  Area,Ready To Move, Devarachikkanahalli,1250.0,2.0,40.0,2
Super built-up  Area,Ready To Move,Kalena Agrahara,1325.0,2.0,76.0,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,1850.0,3.0,150.0,3
Super built-up  Area,Ready To Move,Basaveshwara Nagar,1200.0,2.0,65.0,2
Plot  Area,Ready To Move,Bull Temple Road,1350.0,2.0,140.0,3
Super built-up  Area,18-Jun,Bommasandra,1260.0,3.0,49.36,3
Super built-up  Area,Ready To Move,Prashanth Nagar,1800.0,3.0,150.0,3
Plot  Area,18-Dec,Suragajakkanahalli,11.0,3.0,74.0,3
Built-up  Area,Ready To Move,Ardendale,1100.0,2.0,43.25,2
Super built-up  Area,Ready To Move,Harlur,1508.0,2.0,77.0,2
Carpet  Area,Ready To Move,Sampigehalli,1592.0,3.0,75.0,3
Super built-up  Area,Ready To Move,Akshaya Nagar,1388.0,2.0,57.0,2
Super built-up  Area,18-May,Electronic City Phase II,630.0,1.0,28.35,1
Plot  Area,Ready To Move,RMV,2000.0,3.0,365.0,3
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,1762.0,3.0,125.0,3
Super built-up  Area,21-Dec,Bagalur Main Road,950.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Kodihalli,3252.0,5.0,335.0,4
Super built-up  Area,18-Aug,Magadi Road,1116.0,2.0,50.0,2
Super built-up  Area,Ready To Move,Narayanapura,1308.0,2.0,89.04,2
Super built-up  Area,Ready To Move,MS Pallya,1200.0,3.0,90.0,3
Plot  Area,Ready To Move,Binny Mills Employees Colony,1500.0,4.0,230.0,4
Built-up  Area,Ready To Move,Bannerghatta Road,500.0,1.0,18.5,1
